archivo,crs,width,height,nodata,dtype,res_width,res_height
NDVI_2023-06.tif,EPSG:32721,2890,2897,0.0,float32,10.0,10.0
NDVI_2023-07.tif,EPSG:32721,2890,2897,0.0,float32,10.0,10.0
NDVI_2023-08.tif,EPSG:32721,2890,2897,0.0,float32,10.0,10.0
NDVI_2023-09.tif,EPSG:32721,2890,2897,0.0,float32,10.0,10.0
NDVI_2023-10.tif,EPSG:32721,2890,2897,0.0,float32,10.0,10.0
NDVI_2023-11.tif,EPSG:32721,2890,2897,0.0,float32,10.0,10.0
NDVI_2023-12.tif,EPSG:32721,2890,2897,0.0,float32,10.0,10.0
NDVI_2024-01.tif,EPSG:32721,2890,2897,0.0,float32,10.0,10.0
NDVI_2024-02.tif,EPSG:32721,2890,2897,0.0,float32,10.0,10.0
NDVI_2024-03.tif,EPSG:32721,2890,2897,0.0,float32,10.0,10.0
NDVI_2024-04.tif,EPSG:32721,2890,2897,0.0,float32,10.0,10.0
NDVI_2024-05.tif,EPSG:32721,2890,2897,0.0,float32,10.0,10.0
NDVI_2024-06.tif,EPSG:32721,2890,2897,0.0,float32,10.0,10.0
